Owner,,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Takeda,Takeda,Takeda,Nalas,Nalas,Nalas,Nalas,Nalas,Nalas
Tag,,R-3156,R-3156 Mod,R-5103,R-B01,R-B02,R-C01,R-101,R-102,R-301,R-302,R-801,R-802,1.6 L Buchi,Optimax 1 L,EasyMax 102 HP,EasyMax 102,1 L MB06,1 L MP10,2 L,5 L HP20,20 L
Location,,Charles City,Charles City,Charles City,High Point,High Point,High Point,High Point,High Point,High Point,High Point,High Point,High Point,"Cambridge, 650 EK",TSHO,"Cambridge, 650 EK","Centerbrooke, CT","Centerbrooke, CT","Centerbrooke, CT","Centerbrooke, CT","Centerbrooke, CT","Centerbrooke, CT"
Manufacturer,,,,Pfaudler,De Dietrich,,De Dietrich,De Dietrich,Tolan,De Dietrich,De Dietrich,De Dietrich,De Dietrich,Buchi,Mettler Toledo,Mettler Toledo,Mettler Toledo,Mettler Toledo,Mettler Toledo,Mettler Toledo,Mettler Toledo,Buchi
Model,,,,,,,Optimix,CTJ-32-100,,,,,Optimix,Type 1B,Optimax,EasyMax 102,EasyMax 102,RC1mx MP06,RC1mx MP10,RC1mx HP60,HP20,Type 3
Volume (nominal),L,4542,4542,757,2165,,1136,549,546,840,840,840,971,1.6,,0.1,0.1,1,1,2,5,20
Volume max,L,,,,1892,,1322,429,439,,,,757,1.0,1.0,0.1,0.1,,,,4,21.7
Volume min,L,,,,378,,378,38,20,,,,189,0.1,,0.03,0.03,,,,1.3,2
Scale,,Commercial,Commercial,Commercial,Commercial,Commercial,Commercial,Pilot,Pilot,Commercial,Commercial,Commercial,Commercial,Pilot,,Lab,Lab,Lab,Lab,Pilot,Pilot,Kilo
Internal diameter (ID),mm,1371.6,1371.6,1016,1218,1350,1218,813,812.8,972,972,972,972,82,,52,52,,,,148,276
Straight wall height (tan-tan) ,mm,3048,3048,901.7,1775,1803,832,794.2,781.05,1072,1072,1072,1072,285,,88,88,,,,238,308.7
Max height,mm,3391,3391,1156,2080,2141,1140,998,967,1583,1583,1583,1259,285,,88,88,0,0,0,265,406
Aspect ratio (H/D),m/m,2.5,2.5,1.1,1.7,1.6,0.94,1.23,1.19,1.63,1.63,1.63,1.30,3.48,,1.68,1.68,#DIV/0!,#DIV/0!,#DIV/0!,1.8,1.5
Top dish type,-,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,Dished,,Torispherical,Torispherical,,,,,DIN Torispherical
Bottom dish type,-,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,Conical,Conical,Conical,2:1 Elliptical,,,,,,,,,
Bottom dish height ,mm,342.9,342.9,254,304.5,337.5,308,204,186,511,511,511,187,,,,,,,,27,97
Top dish height,mm,,,,,,308,203,,,,,187,,,,,,,,,
Shaft length ,mm,3660.6,3660.6,,,,,,,,,,,,,,,,,,254,
Shaft diameter ,mm,76.2,76.2,,,50.8,89,64,,,,,,10,,,,,,,9.8,16
Shaft rotation,-,CW,CW,,CW,CW,CW,,,ACW,ACW,ACW,CW,CW,,CW,CW,,,,CW,
Impeller count,#,3,3,,2,2,,2,3,2,2,2,2,1,,1,1,,,,1,1
Impeller 1 type,-,"Axial, high solidity","Axial, high solidity",,"Axial, int. solidity",4PBT,3PBT,3PBT,4PBT,Chevron,Chevron,Chevron,4PBT,Rushton gassing,,Gassing,Gassing,,,,4PBT,3PBT
Impeller 1 design,-,Lightnin A315,Lightnin A315,,DeDietrich GlasLock Optifoil,Lightnin A200,DeDietrich GlasLock Optifoil,Dual Tier,Flat,,,,Optifoil,,,,,,,,,
Impeller 1 blade count,#,4,4,,3,4,3,3,4,3,3,3,4,6,,4,4,,,,,
Impeller 1 blade angle,°,55,55,,45,45,45,45,45,,,,45,,,,,,,,45,
Impeller 1 pumping direction,-,Down,Down,,Down,Down,Down,Down,Down,,,,,Radial,,Radial,Radial,,,,up,
Impeller 1 diameter ,mm,762,762,463.55,737,660.4,736.6,406.4,228.6,600,600,600,508,60,,30,30,,,,45,74.6
Impeller 1 D/Dt,m/m,0.56,0.56,,0.61,0.49,0.60,0.50,0.28,0.62,0.62,0.62,0.52,0.73,,0.58,0.58,,,,0.30,0.27
Impeller 1 height,mm,,,,,92.3,,,44.5,,,,143.0,10,,8.8,8.8,,,,,
Impeller 1 shaft offset ,mm,218.948,218.948,,,,,,,,,,,,,,,,,,3.2,
Impeller 1 clearance ,mm,266.7,266.7,,64,168,63.5,56.34,,,,,134,43,,10.1,10.1,,,,,110.2
Impeller 1 offset from T.L ,mm,-76.2,-76.2,,,,,,,,,,,,,,,,,,,
Impeller 1 power number,-,,,,,,,,,,,,,,,,,,,,,
Impeller 2 type,-,"Axial, high solidity","Axial, high solidity",,3PBT,4PBT,,3PBT,3PBT,3PBT,3PBT,3PBT,2PBT,,,,,,,,,
Impeller 2 design,-,Lightnin A315,Lightnin A315,,Flat,Lightnin A200,,Dual Tier,HE-3,,,,,,,,,,,,,
Impeller 2 blade count,#,4,4,,3,4,,3,3,3,3,3,2,,,,,,,,,
Impeller 2 blade angle,°,55,55,,45,45,,45,,45,45,45,45,,,,,,,,,
Impeller 2 pumping direction,-,Down,Down,,Down,,,Down,Down,Down,,,,,,,,,,,,
Impeller 2 diameter,mm,762,762,,660,660.4,,355.6,371.475,610,610,610,610,,,,,,,,,
Impeller 2 D/Dt,-,0.56,0.56,,0.54,0.49,,0.44,0.46,0.63,0.63,0.63,0.63,,,,,,,,,
Impeller 2 height,mm,,,,,92.3,,,63.5,,,,78,,,,,,,,,
Impeller 2 shaft offset,mm,,,,,,,,,,,,,,,,,,,,,
Impeller 2 clearance ,mm,1409.7,,,895,1070,,462,,,,,845,,,,,,,,,
Impeller 2 offset from T.L,mm,,,,,,,,,,,,0,,,,,,,,,
Impeller 2 power number,-,,,,,,,,,,,,,,,,,,,,,
Impeller 3 type,-,"Axial, high solidity","Axial, high solidity",,,,,,3PBT,,,,,,,,,,,,,
Impeller 3 design,-,Lightnin A315,Lightnin A315,,,,,,HE-3,,,,,,,,,,,,,
Impeller 3 blade count,#,4,4,,,,,,3,,,,,,,,,,,,,
Impeller 3 blade angle,°,55,55,,,,,,,,,,,,,,,,,,,
Impeller 2 pumping direction,-,Down,Down,,,,,,Down,,,,,,,,,,,,,
Impeller 3 diameter,mm,762,762,,,,,,371.475,,,,,,,,,,,,,
Impeller 3 D/Dt,-,,,,,,,,0.46,,,,,,,,,,,,,
Impeller 3 height,mm,,,,,,,,63.5,,,,,,,,,,,,,
Impeller 3 shaft offset,mm,,,,,,,,,,,,,,,,,,,,,
Impeller 3 clearance ,mm,2552.7,,,,,,,,,,,,,,,,,,,,
Impeller 3 offset from T.L,mm,,,,,,,,,,,,,,,,,,,,,
Impeller 3 power number,-,,,,,,,,,,,,,,,,,,,,,
Shell thickness ,mm,31.75,31.75,,15.875,,16,,,14,14,14,14,,,,,,,,,
Shell material,-,316-L SA-240,316-L SA-240,,Carbon steel (SA-516),,Carbon steel (SA-516),,﻿Hastelloy (SB 575 C-276),,,,,Glass,,SS,,,,,SS,SS
Shell lining,-,None,None,Glass 9129,Glass 3009,Glass 3009,Glass 3009,Glass 3009,,Glass 3009,Glass 3009,Glass 3009,Glass 3009,,,,,,,,,
Heat transfer design,-,Half-pipe jacket and internal coil,Half-pipe jacket,Jacket,Jacket,,Jacket,,Jacket,Jacket,Jacket,Jacket,Jacket,Jacket,,,,,,,,
Jacket type,-,,,,Annular,,Annular,,Annular,,,,,,,,,,,,,
Jacket inside diameter,mm,,,,1318,,,,,,,,1084,,,,,,,,,
Jacket volume,L,,,,378.5,,,,,,,,,,,,,,,,,
Max jacket height,mm,,,,1867,,,,,,,,1107,,,,,,,,,
Jacket tangent height,mm,,,,257,,,,,,,,,,,,,,,,,
Jacket height (tan-top),mm,,,,,,,622,,,,,840,,,,,,,,,
Jacketed bottom dish,-,,,,Yes,,,Yes,,,,,Yes,,,,,,,,,
Jacket nozzle diameter,mm,,,,38.1,,,,,,,,38.1,,,,,,,,,
Jacket nozzle area,m2,,,,0.001140092,0,,,,,,,0.001140092,,,,,,,,,
Est. flow rate,L/s,,,,1.140091828,,,,,,,,1.140091828,,,,,,,,,
Jacket material,-,,,,Carbon steel (SA-516),,,,,,,,,,,,,,,,,
Internal coil pitch ,mm,133.35,,,,,,,,,,,,,,,,,,,,
Coil diameter ,mm,1117.6,,,,,,,,,,,,,,,,,,,,
Coil xs diameter (face),mm,76.2,,,,,,,,,,,,,,,,,,,,
Baffle count,#,4,4,,,,,,,3,3,3,3,,,,,,,,,1
Baffle height,mm,,,,1250,,700.1,,,860,860,860,860,,,,,,,,,55
Baffle width,mm,63.5,63.5,,,,,,,88,88,88,88,,,,,,,,,29.2
Baffle thickness,mm,,,,,,,,,38,38,38,38,,,,,,,,,
Baffle offset (gap),mm,12.7,12.7,,,,,,,45,45,45,45,,,,,,,,,28.6
Baffle clearance from bottom,mm,,,,,,,,,423,423,423,187,,,,,,,,,
Baffle length fraction,mm,0.975,0.975,,,,,,,,,,,,,,,,,,,
Sparge pipe dia.,mm,38.1,38.1,,,,,,,,,,,,,,,,,,,
Sparge pipe length,mm,3562.35,3562.35,,,,,,,,,,,,,,,,,,,
Design pressure,bar,6,6,,,8.96,8.96,10.34,,6.21,6.21,6.21,6.21,,,,,,,,20,60
Design temperature,°C,,,,,260,260,260,,260,260,260,260,,,,,,,,,300
Nominal agitaton speed,rpm,,,,,,,,,,,,,,,,,,,,,
Max agitation speed,rpm,95,96,113,125,,125,139,230,125,125,125,125,1000,,1000,1000,,,,1500,2000
Min agitation speed,rpm,1.43,1.43,,12,,12,10,11.5,,,,12,50,,25,25,,,,10,10